prov,head_popgrp,hsg_maind,hsg_rm_tot,hsg_rent,onemed_hh,ad60plusyr_hh,lab_salary_hh,soc_grant_hh,metro_code,
1,1,7,1,1,0,0,3000,0,1,
1,4,1,7,7,4,0,46779,0,1,
1,4,1,7,88,2,2,0,0,1,
1,4,1,8,6,2,0,65870,0,1,
1,2,1,8,8,3,0,9186,0,1,
1,4,1,9,7,6,2,66854,0,1,
1,4,1,6,5,1,1,0,0,1,
1,2,1,5,88,0,0,12000,0,1,
1,1,9,1,88,0,0,7200,0,1,
1,2,9,3,88,0,1,0,2,1,
1,2,9,2,88,0,0,5200,0,1,
1,1,9,1,88,0,0,6000,0,1,
1,2,1,4,88,0,1,11000,1,1,
1,2,1,5,88,0,0,3200,0,1,
1,2,1,5,88,0,1,0,5,1,
1,2,1,4,2,0,0,7000,1,1,
1,2,1,5,88,0,0,7600,2,1,
1,4,1,6,88,6,2,30800,2,1,
1,2,8,1,1,0,0,0,1,1,
1,2,1,2,88,0,0,880,1,1,
1,2,1,5,88,0,1,4000,2,1,
1,2,1,3,2,0,0,10000,2,1,
1,2,1,3,88,0,0,4400,3,1,
1,2,1,3,1,0,0,0,6,1,
1,1,1,3,88,0,0,2000,0,1,
1,2,1,2,88,0,0,0,4,1,
1,2,1,4,88,0,0,14000,0,1,
1,2,1,3,88,0,0,800,0,1,
1,4,1,5,88,2,1,21583,0,1,
1,1,1,1,88,0,0,3929,0,1,
1,2,8,1,88,0,0,5405,1,1,
1,2,1,3,88,0,1,3500,2,1,
1,2,1,4,88,0,1,0,2,1,
1,2,1,4,88,0,1,4000,1,1,
1,2,1,5,88,0,0,7000,0,1,
1,2,1,1,2,0,0,0,0,1,
1,2,1,6,88,0,1,4000,2,1,
1,2,9,4,88,0,0,3600,1,1,
1,2,1,4,88,0,0,6008,0,1,
1,2,6,5,88,0,0,4000,1,1,
1,2,1,8,88,0,1,4000,1,1,
1,2,9,4,88,0,0,800,4,1,
1,2,1,6,88,2,0,27000,0,1,
1,2,1,5,1,0,2,2800,3,1,
1,4,1,7,88,0,0,15000,0,1,
1,4,1,7,88,5,0,15321,0,1,
1,2,1,6,88,0,0,20310,0,1,
1,2,1,4,88,0,0,4000,3,1,
1,4,1,9,88,2,1,33427,0,1,
1,4,1,8,88,1,1,0,1,1,
1,4,1,8,88,2,2,0,0,1,
1,4,1,8,88,1,1,0,0,1,
1,4,1,7,88,0,2,0,1,1,
1,4,1,7,88,0,2,0,2,1,
1,2,1,8,6,0,0,11500,0,1,
1,4,1,8,6,1,1,0,0,1,
1,4,1,6,88,0,1,0,1,1,
1,4,1,7,88,2,2,0,1,1,
1,4,1,9,88,2,2,0,0,1,
1,4,1,8,88,2,2,0,0,1,
1,1,1,4,88,0,1,0,1,1,
1,1,9,3,88,0,0,3500,2,1,
1,1,9,2,88,0,0,2400,0,1,
1,1,9,3,88,0,0,7000,3,1,
1,1,9,3,88,0,0,3800,0,1,
1,1,1,5,88,0,0,5257,1,1,
1,1,1,5,88,0,1,0,0,1,
1,2,1,2,88,0,0,0,0,1,
1,2,1,7,88,0,1,0,1,1,
1,2,1,7,88,0,2,0,2,1,
1,2,1,2,88,0,1,0,1,1,
1,2,1,4,88,0,1,1249,4,1,
1,2,1,5,88,0,0,5257,2,1,
1,1,1,4,88,0,0,6400,5,1,
1,1,9,4,88,0,0,0,0,1,
1,1,1,4,88,0,0,0,0,1,
1,1,1,5,88,0,0,0,1,1,
1,1,9,3,88,0,0,3500,0,1,
1,2,1,3,88,0,0,6300,2,1,
1,1,10,1,3,0,0,0,0,1,
1,4,1,5,88,2,0,0,0,1,
1,4,1,15,88,1,1,0,2,1,
1,4,1,6,88,0,1,0,1,1,
1,4,1,6,6,0,0,2008,0,1,
1,4,1,9,88,2,2,67629,1,1,
1,4,1,5,88,0,2,0,2,1,
1,4,1,8,88,1,2,0,0,1,
1,4,12,7,88,0,0,0,0,1,
1,4,1,6,88,2,0,0,0,1,
1,4,1,7,7,1,1,0,0,1,
1,2,1,6,88,0,1,0,3,1,
1,2,1,4,88,0,1,0,3,1,
1,2,1,4,88,0,0,1100,0,1,
1,2,1,4,88,0,0,10400,0,1,
1,2,1,6,88,0,0,30000,2,1,
1,2,1,4,88,0,0,3000,3,1,
1,2,1,5,88,0,0,480,1,1,
1,2,1,3,88,0,1,0,3,1,
1,2,1,4,88,0,2,2400,2,1,
1,2,8,1,88,0,1,0,1,1,
1,2,1,6,88,0,0,0,2,1,
1,2,1,4,88,0,0,0,4,1,
1,2,1,2,88,0,0,0,1,1,
1,2,1,4,88,0,0,0,2,1,
1,2,1,3,88,1,0,4500,0,1,
1,2,8,4,88,0,0,3000,3,1,
1,1,1,5,88,0,0,0,3,1,
1,1,1,2,88,0,0,3600,0,1,
1,1,1,6,88,0,2,0,6,1,
1,1,1,1,2,0,0,5000,2,1,
1,1,1,6,88,0,0,7500,1,1,
1,1,1,6,88,0,0,4800,0,1,
1,1,1,5,88,0,0,13629,2,1,
1,1,1,5,88,0,1,0,1,1,
1,1,9,2,88,0,0,6000,1,1,
1,1,1,5,88,0,0,7000,2,1,
1,1,1,7,88,0,1,6000,5,1,
1,1,8,1,88,0,0,0,0,1,
1,2,1,3,88,0,0,0,0,1,
1,2,1,7,3,2,0,18500,0,1,
1,2,1,5,88,0,2,5600,2,1,
1,2,1,2,88,0,0,9000,4,1,
1,2,1,5,88,0,0,6500,2,1,
1,2,1,5,88,0,0,18000,3,1,
1,2,1,5,88,1,0,5200,0,1,
1,2,1,5,88,0,0,8500,1,1,
1,2,1,5,88,0,0,2997,0,1,
1,1,6,6,88,0,0,29500,0,1,
1,2,1,6,88,0,1,15700,4,1,
1,2,1,8,88,1,0,2997,1,1,
1,2,8,1,88,0,0,2400,0,1,
1,2,1,11,88,0,2,9300,2,1,
1,2,1,5,88,0,1,3800,4,1,
1,2,1,6,88,3,0,42000,1,1,
1,1,1,8,88,2,1,3500,1,1,
1,2,1,6,88,0,1,4000,4,1,
1,4,1,8,88,2,0,48000,0,1,
1,4,1,8,6,4,0,16000,0,1,
1,2,1,8,6,0,0,5500,0,1,
1,4,5,6,88,1,1,0,0,1,
1,4,1,9,7,4,0,25000,0,1,
1,4,1,10,88,2,0,32000,0,1,
1,4,1,8,6,3,0,71000,0,1,
1,4,1,9,88,3,0,25500,0,1,
1,4,1,8,88,1,1,0,0,1,
1,4,5,6,5,0,2,0,2,1,
1,4,5,5,88,2,2,0,2,1,
1,4,3,6,5,1,1,0,0,1,
1,4,3,5,4,0,1,0,1,1,
1,4,3,5,4,0,1,0,1,1,
1,4,3,5,6,2,2,0,0,1,
1,4,3,4,5,0,1,0,1,1,
1,2,1,4,88,1,2,500,7,1,
1,2,8,1,88,0,0,0,4,1,
1,2,1,3,88,0,1,2400,1,1,
1,2,1,3,88,0,2,0,2,1,
1,2,1,3,88,0,0,400,0,1,
1,2,1,4,88,0,0,3000,0,1,
1,2,1,5,88,4,0,16000,0,1,
1,2,8,2,88,0,0,0,2,1,
1,2,1,4,88,0,0,2000,2,1,
1,2,1,5,88,0,0,4000,3,1,
1,2,1,1,88,0,0,0,0,1,
1,2,1,6,88,0,2,0,3,1,
1,2,9,2,88,0,0,0,1,1,
1,1,1,8,2,1,0,9999999,0,1,
1,2,1,3,88,0,0,0,1,1,
1,2,1,4,88,0,2,500,3,1,
1,2,1,3,88,0,0,520,1,1,
1,2,1,4,88,0,1,0,1,1,
1,2,1,4,88,0,1,8600,2,1,
1,4,5,5,4,0,1,0,1,1,
1,4,1,5,88,2,2,0,0,1,
1,4,5,5,4,0,1,0,1,1,
1,4,5,6,5,1,1,0,0,1,
1,4,1,7,88,2,2,0,0,1,
1,4,1,8,6,2,0,30000,0,1,
1,4,1,7,88,2,2,26000,0,1,
1,4,1,8,88,2,0,69000,0,1,
1,4,1,8,7,3,0,0,0,1,
1,4,1,9,7,5,0,38000,0,1,
1,4,5,6,4,0,1,0,1,1,
1,4,1,9,4,2,2,0,0,1,
1,4,1,8,88,0,1,0,2,1,
1,2,1,8,88,0,1,0,2,1,
1,2,1,5,88,0,0,0,6,1,
1,2,1,6,88,2,0,31058,0,1,
